country,year,region,income,death
Japan,1971,East Asia & Pacific,3,6.5
Japan,1972,East Asia & Pacific,3,6.4
Japan,1973,East Asia & Pacific,3,6.6
Japan,1974,East Asia & Pacific,3,6.4
Japan,1975,East Asia & Pacific,3,6.2
Japan,1976,East Asia & Pacific,3,6.2
Japan,1977,East Asia & Pacific,3,6
Japan,1978,East Asia & Pacific,3,6
Japan,1979,East Asia & Pacific,3,5.9
Japan,1980,East Asia & Pacific,3,6.1
Japan,1981,East Asia & Pacific,3,6.1
Japan,1982,East Asia & Pacific,3,6
Japan,1983,East Asia & Pacific,3,6.2
Japan,1984,East Asia & Pacific,3,6.2
Japan,1985,East Asia & Pacific,3,6.2
Japan,1986,East Asia & Pacific,3,6.2
Japan,1987,East Asia & Pacific,3,6.7
Japan,1988,East Asia & Pacific,3,6.5
Japan,1989,East Asia & Pacific,3,6.4
Japan,1990,East Asia & Pacific,3,6.7
Japan,1991,East Asia & Pacific,3,6.7
Japan,1992,East Asia & Pacific,3,6.9
Japan,1993,East Asia & Pacific,3,7.1
Japan,1994,East Asia & Pacific,3,7.1
Japan,1995,East Asia & Pacific,3,7.41
Japan,1996,East Asia & Pacific,3,7.1
Japan,1997,East Asia & Pacific,3,7.3
Japan,1998,East Asia & Pacific,3,7.5
Japan,1999,East Asia & Pacific,3,7.8
Japan,2000,East Asia & Pacific,3,7.7
Japan,2001,East Asia & Pacific,3,7.7
Japan,2002,East Asia & Pacific,3,8.1
Japan,2003,East Asia & Pacific,3,8.4
Japan,2004,East Asia & Pacific,3,8.050859795
Japan,2005,East Asia & Pacific,3,8.530753759
Japan,2006,East Asia & Pacific,3,8.53
Japan,2007,East Asia & Pacific,3,8.71
Japan,2008,East Asia & Pacific,3,9.1
Japan,2009,East Asia & Pacific,3,9.1
Japan,2010,East Asia & Pacific,3,9.5
Japan,2011,East Asia & Pacific,3,9.9
Japan,2012,East Asia & Pacific,3,10
Japan,2013,East Asia & Pacific,3,10.1
Kiribati,1960,East Asia & Pacific,1,19.869
Kiribati,1961,East Asia & Pacific,1,19.412
Kiribati,1962,East Asia & Pacific,1,18.965
Kiribati,1963,East Asia & Pacific,1,18.531
Kiribati,1964,East Asia & Pacific,1,18.105
Kiribati,1965,East Asia & Pacific,1,17.668
Kiribati,1966,East Asia & Pacific,1,17.198
Kiribati,1967,East Asia & Pacific,1,16.681
Kiribati,1968,East Asia & Pacific,1,16.115
Kiribati,1969,East Asia & Pacific,1,15.513
Kiribati,1970,East Asia & Pacific,1,14.9
Kiribati,1971,East Asia & Pacific,1,14.31
Kiribati,1972,East Asia & Pacific,1,13.777
Kiribati,1973,East Asia & Pacific,1,13.322
Kiribati,1974,East Asia & Pacific,1,12.952
Kiribati,1975,East Asia & Pacific,1,12.665
Kiribati,1976,East Asia & Pacific,1,12.447
Kiribati,1977,East Asia & Pacific,1,12.27
Kiribati,1978,East Asia & Pacific,1,12.105
Kiribati,1979,East Asia & Pacific,1,11.937
