year,Aruba,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Mexico,"Macedonia, FYR",Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. Rep.",Portugal,Paraguay,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,South Sudan,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
2000,6.97,12.307,19.408,5.727,1.896,7.813,8.476,6.817,6.7,9.6,5.8,15.788,10.2,12.37,15.469,7.239,14.1,2.801,5.607,7.502,13.5,5.487,8.436,6.385,9.941,2.836,8.934,13.399,19.565,7.1,8.7,9.743,5.099,6.45,17.179,13.95,13.717,5.659,10.506,6.141,3.946,7.097,6.837,10.6,10.2,10.254,10.9,5.97,5.252,5.075,6.909,9.542,9,13.2,13.876,9.5,6.076,8.9,6.318,11.083,10.3,10.034,10.652,15.214,12.171,14.822,17.393,9.6,8.192,6.434,4.547,9.112,5.1,5.379,11.2,10.96,13.3,6.786,8.898,8.2,5.258,5.067,6.5,6,9.8,6.3,4.149,7.7,10.1,12.25,7,8.533,7.129,5.2,3.133,8.435,5.516,14.167,4.446,7.381,7.3,6.969,16.497,11.1,8.6,13.6,4.878,6.069,12.272,10.206,5.109,4.624,8.31,17.723,7.7,8.811,8.758,7.686,17.031,9.753,6.7,17.646,4.408,11.219,5.1,16.807,17.6,5.234,8.8,9.8,8.731,6.91,3.485,8.031,4.782,5.769,6.119,9.146,9.6,7.48,9.098,10.2,5.784,4.811,1.995,11.4,15.3,13.709,4.026,10.511,10.767,3.9,7.671,24.337,6.47,15.608,15.932,7.534,9.8,9.3,10.5,14.076,3.661,18.231,12.591,6.793,7.776,7.692,9.448,6.257,8.072,5.6,6.396,14.44,15.628,15.3,9.421,8.7,5.500840676,7.329,4.976,6,5.398,6.227,6.082,9.269,11.665,19.768,16.955
2001,7.02,11.988,18.753,5.677,1.826,7.801,8.435,6.721,6.6,9.3,5.6,15.554,10.1,12.126,15.151,7.046,14,2.733,5.585,7.675,14.1,5.393,8.287,6.367,9.97,2.797,8.593,14.166,19.451,7.1,8.5,9.597,5.063,6.43,17.317,13.991,13.655,5.62,10.404,5.972,3.954,7.117,6.814,10.5,10.1,10.219,10.9,5.975,5.26,5.018,6.879,9.247,8.8,13.3,13.323,9.4,6.129,8.8,6.331,11.134,10.2,10.078,10.612,15.083,11.944,14.653,17.204,9.4,8.146,6.272,4.566,8.984,5,5.325,11.2,10.806,13,6.735,8.76,7.8,5.234,5.092,6.1,5.8,9.6,6.38,4.084,7.7,10,12.284,6.5,8.161,6.95,5,3.146,8.105,5.366,13.966,4.4,7.315,6.6,6.706,17.439,11.6,8.4,14.1,4.875,6.081,12.449,9.786,4.798,4.597,8.4,17.35,7.4,8.728,9.112,7.491,16.903,9.689,6.7,17.269,4.398,11.577,5.2,16.202,17.374,5.133,8.7,9.7,8.488,7.16,3.386,7.853,4.782,5.675,6.093,8.984,9.5,7.5,8.926,10.1,5.725,4.795,1.961,11.7,15.6,13.121,3.928,10.313,10.515,4.4,7.408,23.588,6.454,15.308,15.594,7.559,9.7,9.3,10.5,14.742,3.598,18.074,12.528,6.861,7.505,7.686,8.925,6.257,8.172,5.6,6.265,14.1,15.03,15.3,9.413,8.5,5.309233446,7.387,5.002,5.56,5.383,6.026,6.007,9.022,12.463,19.159,17.33
2002,7.08,11.653,18.135,5.663,1.747,7.792,8.412,6.636,6.8,9.4,5.7,15.353,10.2,11.853,14.813,6.871,14.3,2.664,5.571,7.959,14.9,5.29,8.146,6.354,9.971,2.77,8.27,14.872,19.277,7.1,8.5,9.457,5.05,6.41,17.318,13.999,13.529,5.588,10.294,5.819,3.969,7.139,6.795,10.6,10.2,10.182,10.9,5.978,5.288,4.979,6.863,9.008,8.8,13.3,12.744,9.5,6.19,8.8,6.343,11.135,10.2,10.147,10.526,14.876,11.717,14.484,16.988,9.5,8.098,6.132,4.591,8.827,5,5.283,11.4,10.638,13.1,6.687,8.63,7.5,5.222,5.141,6.3,5.8,9.8,6.4,4.024,8.1,11.8,12.208,8.4,7.805,6.792,5.1,3.149,7.82,5.215,13.684,4.357,7.212,6.4,6.49,18.15,11.9,8.4,14.1,4.867,6.103,12.627,9.408,4.519,4.575,8.507,16.96,7.6,8.655,9.425,7.319,16.791,9.624,6.9,16.806,4.4,11.733,5.1,15.608,17.092,5.044,8.8,9.8,8.263,7.1,3.299,7.694,4.786,5.598,6.071,8.812,9.4,7.28,8.739,10.2,5.671,4.781,1.917,12.4,15.4,12.954,3.832,10.103,10.21,4.5,7.169,22.794,6.441,15.062,15.275,7.561,9.6,9.4,10.6,15.252,3.534,17.895,12.439,6.913,7.262,7.695,8.468,6.255,8.275,5.8,6.153,13.7,14.409,15.3,9.404,8.5,5.422163408,7.424,5.024,5.66,5.383,5.832,5.945,8.787,13.202,18.438,17.486
2003,7.147,11.301,17.571,5.691,1.661,7.783,8.406,6.564,6.6,9.5,6,15.161,10.3,11.562,14.463,6.711,14.3,2.596,5.573,8.26,14.6,5.183,8.012,6.343,9.941,2.758,7.967,15.506,19.044,7.2,8.6,9.331,5.063,6.4,17.191,13.966,13.344,5.562,10.177,5.682,3.989,7.161,6.781,10.9,10.3,10.133,10.7,5.981,5.33,4.957,6.854,8.803,9.1,13.2,12.144,9.4,6.254,9.1,6.35,11.079,10.2,10.243,10.403,14.591,11.492,14.312,16.739,9.6,8.043,6.014,4.618,8.64,5.4,5.246,11.8,10.451,13.4,6.642,8.506,7.3,5.226,5.216,6.3,5.8,10.2,6.58,3.97,8.4,10.41,12.03,7.1,7.469,6.652,5.1,3.146,7.575,5.064,13.277,4.316,7.079,6.4,6.362,18.591,12,9,14.2,4.854,6.132,12.805,9.067,4.276,4.556,8.626,16.567,7.9,8.593,9.677,7.174,16.672,9.555,7,16.274,4.415,11.654,5,15.028,16.758,4.967,8.7,9.3,8.056,6.95,3.221,7.558,4.793,5.536,6.053,8.635,9.6,7.31,8.608,10.4,5.625,4.765,1.866,12.4,16.4,12.72,3.738,9.885,9.869,4.5,6.957,21.978,6.437,14.829,14.969,7.538,9.7,9.7,10.4,15.581,3.474,17.688,12.337,6.952,7.052,7.71,8.07,6.251,8.38,6.1,6.059,13.248,13.79,16.00821535,9.391,8.44,5.316598549,7.438,5.042,5.9,5.395,5.649,5.893,8.566,13.84,17.639,17.425
2004,7.222,10.933,17.073,5.763,1.568,7.774,8.417,6.506,6.5,9.1,6,14.97,9.7,11.262,14.105,6.564,14.2,2.532,5.592,8.544,14.4,5.078,7.884,6.336,9.883,2.76,7.688,16.052,18.752,7.25,8.1,9.223,5.101,6.42,16.95,13.886,13.104,5.541,10.052,5.561,4.015,7.181,6.775,10.5,9.9,10.067,10.3,5.984,5.384,4.949,6.844,8.62,8.6,13,11.533,9.1,6.317,8.3,6.351,10.961,9.7,10.366,10.246,14.234,11.27,14.136,16.452,9.5,7.98,5.916,4.646,8.426,5.4,5.211,11.2,10.245,13.1,6.596,8.389,7,5.24,5.308,6.2,5.6,9.5,6.2,3.921,8.050859795,10.14,11.758,6.9,7.16,6.532,5,3.137,7.365,4.918,12.742,4.278,6.929,5.7,6.336,18.747,12.2,7.8,14.2,4.835,6.164,12.985,8.763,4.071,4.538,8.753,16.181,7.5,8.543,9.856,7.056,16.532,9.483,6.9,15.69,4.44,11.34,4.9,14.467,16.379,4.9,8.4,9,7.864,6.95,3.149,7.447,4.804,5.489,6.038,8.459,9.5,7.46,8.56,9.7,5.589,4.75,1.808,12.1,16,12.274,3.649,9.662,9.506,4.4,6.774,21.17,6.439,14.595,14.672,7.495,9.7,9.3,10.1,15.721,3.421,17.452,12.227,6.983,6.879,7.724,7.727,6.244,8.485,6,5.983,12.754,13.19,16.04371612,9.374,8.34,5.040019316,7.431,5.058,5.8,5.415,5.482,5.852,8.361,14.341,16.788,17.147
2005,7.305,10.55,16.638,5.873,1.471,7.763,8.443,6.462,6.4,9.1,6.2,14.771,9.9,10.964,13.745,6.43,14.6,2.474,5.627,8.786,14.7,4.978,7.764,6.332,9.799,2.776,7.435,16.501,18.407,7.1,8.2,9.138,5.158,6.51,16.62,13.757,12.818,5.526,9.919,5.459,4.043,7.203,6.776,10.6,10.1,9.98,10.1,5.985,5.447,4.951,6.83,8.445,8.8,12.8,10.926,9.1,6.378,8.5,6.345,10.788,9.6,10.51,10.068,13.825,11.053,13.956,16.127,9.5,7.91,5.832,4.673,8.191,5.7,5.174,11.656,10.022,13.5,6.55,8.283,6.8,5.258,5.403,6.2,5.6,9.8,6.59,3.878,8.530753759,10.37,11.403,7.2,6.886,6.429,5,3.123,7.182,4.782,12.109,4.243,6.786,6.2,6.404,18.623,13.2,7.8,14.6,4.812,6.197,13.161,8.491,3.903,4.522,8.881,15.804,7.8,8.504,9.967,6.967,16.36,9.406,7,15.076,4.473,10.825,4.9,13.933,15.971,4.843,8.4,8.9,7.684,6.54,3.084,7.359,4.817,5.454,6.025,8.292,9.6,7.6,8.598,10.2,5.564,4.744,1.746,12.3,16.1,11.569,3.566,9.443,9.145,4.4,6.617,20.406,6.448,14.351,14.375,7.438,10,9.4,10.2,15.681,3.384,17.183,12.107,7.012,6.748,7.734,7.431,6.235,8.593,5.9,5.923,12.229,12.623,16.6,9.356,8.26,5.372602715,7.404,5.072,6.2,5.442,5.334,5.816,8.174,14.669,15.914,16.64
2006,7.4,10.158,16.257,6.013,1.375,7.753,8.477,6.425,6.4,9,6.2,14.56,9.6,10.681,13.386,6.308,14.7,2.424,5.676,8.984,14.4,4.885,7.652,6.332,9.697,2.802,7.216,16.847,18.011,7,8.1,9.078,5.227,6.81,16.239,13.58,12.495,5.516,9.778,5.375,4.072,7.231,6.785,10.2,10,9.867,10.2,5.984,5.517,4.958,6.808,8.265,8.3,12.9,10.342,9.1,6.434,8.3,6.332,10.573,9.4,10.668,9.884,13.394,10.845,13.772,15.767,9.5,7.837,5.757,4.696,7.941,5.5,5.132,11.341,9.79,13.1,6.502,8.19,6.7,5.276,5.483,6.3,5.5,9.6,7.15,3.839,8.53,10.27,10.982,7.4,6.653,6.342,5,3.104,7.019,4.663,11.435,4.215,6.677,6.3,6.537,18.257,13.7,8,14.9,4.788,6.228,13.329,8.245,3.77,4.507,9.007,15.439,7.9,8.477,10.023,6.904,16.147,9.324,7.4,14.457,4.508,10.173,4.7,13.435,15.551,4.792,8.3,8.9,7.517,6.75,3.024,7.288,4.832,5.426,6.014,8.141,9.7,7.29,8.702,9.7,5.553,4.758,1.682,12.2,15.2,10.667,3.491,9.237,8.808,4.4,6.485,19.718,6.46,14.094,14.074,7.375,9.9,9.1,10,15.494,3.375,16.879,11.975,7.048,6.661,7.74,7.171,6.222,8.703,5.6,5.875,11.684,12.091,16.2,9.339,8.1,5.271090805,7.362,5.086,6.3,5.473,5.207,5.78,8.006,14.796,15.04,15.898
2007,7.508,9.767,15.906,6.167,1.285,7.744,8.514,6.391,6.7,9,6.3,14.337,9.5,10.423,13.028,6.195,15,2.382,5.73,9.157,13.9,4.8,7.548,6.337,9.586,2.837,7.03,17.1,17.577,7.1,8.1,9.041,5.297,6.93,15.847,13.365,12.147,5.511,9.632,5.307,4.099,7.267,6.798,10.2,10.1,9.733,10.2,5.984,5.591,4.965,6.777,8.078,8.5,13,9.794,9.3,6.486,8.3,6.314,10.336,9.4,10.828,9.707,12.98,10.647,13.587,15.384,9.8,7.764,5.684,4.717,7.688,5.7,5.083,11.798,9.558,13.2,6.454,8.111,6.4,5.289,5.534,6.2,5.6,9.8,7.72,3.804,8.71,10.22,10.521,7.2,6.463,6.268,5,3.08,6.866,4.565,10.792,4.193,6.619,6.4,6.69,17.74,14.1,8.1,15,4.768,6.258,13.486,8.019,3.666,4.495,9.125,15.081,7.6,8.462,10.052,6.862,15.9,9.239,6.9,13.858,4.542,9.481,5,12.976,15.139,4.748,8.1,8.9,7.36,6.74,2.971,7.229,4.846,5.404,6.006,8.012,9.9,7.44,8.828,9.8,5.554,4.799,1.619,12.1,14.6,9.754,3.426,9.048,8.509,4.5,6.371,19.119,6.474,13.83,13.766,7.317,10,9.2,10,15.225,3.397,16.546,11.826,7.097,6.609,7.744,6.935,6.205,8.818,5.5,5.837,11.131,11.586,16.4,9.325,8,5.11500451,7.313,5.102,6.5,5.507,5.101,5.741,7.856,14.747,14.181,14.964
2008,7.629,9.386,15.565,6.321,1.207,7.738,8.549,6.353,6.7,9,6,14.103,9.8,10.196,12.675,6.091,14.8,2.348,5.787,9.323,14.1,4.721,7.454,6.348,9.478,2.878,6.879,17.268,17.119,7.2,8,9.023,5.359,7.06,15.479,13.123,11.791,5.512,9.483,5.253,4.125,7.315,6.816,10.1,10.3,9.582,9.9,5.983,5.666,4.968,6.74,7.881,8.4,12.5,9.294,9.2,6.536,8.5,6.293,10.096,9.4,10.982,9.548,12.608,10.46,13.404,14.991,9.7,7.695,5.608,4.735,7.445,6,5.029,11.8,9.338,13,6.407,8.049,6.3,5.294,5.547,6.3,5.4,9.9,7.47,3.773,9.1,9.74,10.05,7.1,6.314,6.203,5,3.05,6.715,4.49,10.235,4.179,6.621,5.8,6.822,17.159,13.7,7.4,14.2,4.756,6.285,13.627,7.805,3.586,4.488,9.233,14.727,7.9,8.457,10.08,6.835,15.626,9.151,7.2,13.298,4.573,8.832,4.7,12.557,14.749,4.708,8.2,8.7,7.213,6.83,2.924,7.175,4.861,5.383,6,7.906,10,7.61,8.94,9.9,5.565,4.872,1.56,12.3,14.5,8.971,3.37,8.883,8.259,4.4,6.27,18.614,6.488,13.566,13.45,7.272,9.9,9.1,9.9,14.935,3.452,16.189,11.657,7.164,6.583,7.749,6.713,6.184,8.939,5.8,5.805,10.588,11.106,16.31,9.319,8.2,5.083453285,7.264,5.123,6.7,5.541,5.013,5.695,7.72,14.557,13.356,13.895
2009,7.763,9.023,15.227,6.466,1.143,7.732,8.58,6.311,6.5,9.3,5.9,13.858,9.7,10.002,12.328,5.994,14.5,2.324,5.843,9.481,14.2,4.651,7.368,6.364,9.377,2.922,6.76,17.354,16.649,7.1,8.1,9.022,5.411,7.08,15.153,12.861,11.439,5.518,9.334,5.21,4.148,7.376,6.836,10.3,10.4,9.417,9.9,5.984,5.738,4.964,6.695,7.67,8.3,12.1,8.848,9.3,6.584,8.5,6.27,9.865,9,11.122,9.411,12.293,10.284,13.223,14.598,9.7,7.633,5.528,4.751,7.222,5.9,4.969,11.8,9.135,13,6.362,8.002,6.3,5.288,5.52,6.3,5.2,10,7.03,3.746,9.1,9.8,9.59,6.7,6.202,6.147,5,3.018,6.563,4.441,9.785,4.173,6.683,6.4,6.923,16.57,13.3,7.3,14,4.752,6.308,13.753,7.599,3.524,4.486,9.33,14.379,7.8,8.461,10.118,6.818,15.331,9.061,7.4,12.794,4.6,8.273,4.8,12.175,14.389,4.672,8.1,8.6,7.076,6.71,2.881,7.124,4.874,5.362,5.996,7.827,10.1,7.78,9.028,9.9,5.585,4.974,1.507,12.6,14.1,8.341,3.326,8.742,8.063,4.3,6.179,18.205,6.499,13.302,13.125,7.243,9.8,9.2,9.7,14.662,3.535,15.815,11.473,7.25,6.577,7.753,6.498,6.16,9.067,5.7,5.776,10.071,10.655,15.3,9.318,8.4,4.8,7.222,5.149,6.9,5.576,4.941,5.643,7.599,14.257,12.582,12.756
2010,7.906,8.684,14.887,6.596,1.095,7.728,8.611,6.266,6.5,9.2,5.9,13.601,9.6,9.841,11.993,5.903,14.9,2.309,5.9,9.636,14.4,4.591,7.289,6.386,9.289,2.97,6.668,17.361,16.18,7.1,8,9.034,5.451,7.11,14.875,12.586,11.102,5.529,9.186,5.174,4.17,7.449,6.858,10.2,10.5,9.245,9.8,5.985,5.802,4.955,6.645,7.445,8.2,11.9,8.461,9.5,6.633,8.5,6.247,9.648,8.9,11.247,9.297,12.036,10.119,13.046,14.215,9.8,7.578,5.441,4.765,7.03,6,4.905,11.8,8.954,13,6.323,7.969,6.1,5.273,5.456,6.4,5.2,9.9,7.99,3.724,9.5,8.97,9.164,6.6,6.122,6.097,5.1,2.983,6.407,4.414,9.447,4.174,6.794,6.6,6.986,16.031,13.6,7.4,14.3,4.756,6.325,13.862,7.398,3.476,4.488,9.417,14.036,7.3,8.473,10.175,6.807,15.023,8.971,7.3,12.354,4.623,7.834,4.8,11.825,14.061,4.638,8.2,8.5,6.95,6.51,2.842,7.074,4.887,5.341,5.995,7.771,9.9,7.833,9.089,10,5.612,5.097,1.462,12.8,14.2,7.869,3.292,8.624,7.916,4.4,6.092,17.883,6.509,13.037,12.793,7.232,9.9,9.1,9.6,14.447,3.635,15.431,11.275,7.354,6.58,7.756,6.288,6.132,9.201,5.7,5.751,9.597,10.239,15.2,9.323,8,4.9,7.192,5.18,7.2,5.61,4.882,5.584,7.49,13.901,11.874,11.627
2011,8.055,8.375,14.547,6.71,1.062,7.724,8.644,6.218,6.6,9.1,5.9,13.333,9.4,9.708,11.671,5.817,14.7,2.301,5.958,9.791,14.3,4.541,7.218,6.412,9.214,3.02,6.599,17.289,15.724,7,7.8,9.055,5.483,7.14,14.638,12.306,10.788,5.545,9.041,5.144,4.19,7.534,6.882,10.2,10.4,9.072,9.4,5.989,5.855,4.941,6.592,7.21,8.3,11.5,8.128,9.4,6.684,8.4,6.225,9.446,8.7,11.355,9.196,11.829,9.962,12.873,13.85,10,7.529,5.351,4.779,6.877,6,4.841,11.9,8.8,12.9,6.289,7.949,6.2,5.248,5.367,6.2,5.3,10,6.27,3.706,9.9,8.75,8.789,6.5,6.066,6.051,5.1,2.949,6.248,4.407,9.202,4.18,6.932,6.8,7.017,15.582,13.6,7.4,13.9,4.765,6.335,13.955,7.202,3.437,4.496,9.497,13.699,7.8,8.491,10.254,6.798,14.717,8.881,7.3,11.98,4.645,7.524,5.2,11.502,13.762,4.606,8.1,8.4,6.837,6.83,2.804,7.025,4.899,5.32,5.998,7.735,9.7,7.997,9.129,9.7,5.643,5.23,1.426,12.5,13.5,7.532,3.268,8.526,7.807,4.5,6.009,17.629,6.516,12.774,12.455,7.237,9.6,9.1,9.5,14.317,3.737,15.046,11.068,7.474,6.584,7.759,6.085,6.101,9.34,5.9,5.729,9.18,9.865,14.5,9.331,8.066,4.9,7.18,5.215,7.4,5.643,4.834,5.523,7.392,13.547,11.24,10.591
2012,8.207,8.095,14.212,6.812,1.042,7.72,8.685,6.173,6.6,9.4,5.9,13.058,9.8,9.593,11.361,5.736,15,2.301,6.02,9.95,13.4,4.5,7.152,6.443,9.15,3.074,6.546,17.145,15.286,7.1,8,9.081,5.511,7.15,14.419,12.022,10.499,5.564,8.9,5.115,4.212,7.626,6.908,10.3,10.8,8.903,9.4,5.994,5.895,4.927,6.539,6.974,8.6,11.7,7.838,9.6,6.74,8.7,6.205,9.254,8.9,11.452,9.099,11.648,9.812,12.702,13.506,10.5,7.484,5.262,4.793,6.764,6.1,4.779,12.1,8.67,13,6.264,7.937,6.3,5.218,5.268,6.1,5.3,10.3,6.28,3.696,10,8.51,8.464,6.5,6.024,6.011,5.3,2.916,6.092,4.414,9.011,4.191,7.07,6.1,7.037,15.225,13.7,7.3,14.3,4.778,6.337,14.037,7.011,3.405,4.509,9.574,13.366,8.1,8.515,10.349,6.791,14.422,8.793,7.4,11.659,4.67,7.312,5.1,11.195,13.479,4.578,8.4,8.4,6.737,6.79,2.766,6.98,4.913,5.302,6.004,7.712,10,8.161,9.163,10.2,5.677,5.359,1.398,12.7,13.3,7.278,3.252,8.439,7.716,4.5,5.93,17.411,6.523,12.515,12.119,7.253,9.7,9.4,9.7,14.267,3.828,14.665,10.859,7.602,6.583,7.763,5.894,6.069,9.483,6.1,5.713,8.823,9.534,14.5,9.34,8.1,4.9,7.185,5.254,7.7,5.676,4.791,5.462,7.304,13.244,10.669,9.698
2013,8.359,7.845,13.887,6.905,1.032,7.713,8.737,6.134,6.3,9.4,5.8,12.781,9.8,9.487,11.063,5.661,14.4,2.305,6.089,10.114,13.2,4.466,7.091,6.478,9.096,3.133,6.502,16.937,14.868,7.2,8,9.108,5.542,7.2,14.198,11.741,10.232,5.588,8.765,5.087,4.236,7.724,6.937,10.4,11.1,8.744,9.3,6.002,5.922,4.915,6.489,6.744,8.3,11.6,7.579,9.5,6.804,8.7,6.187,9.067,9,11.539,8.997,11.476,9.666,12.535,13.187,10.2,7.443,5.177,4.81,6.69,6,4.722,11.8,8.561,12.8,6.248,7.932,6.5,5.187,5.172,6.7,5.1,10,5.7,3.691,10.1,7.98,8.189,6.1,5.989,5.976,5.3,2.885,5.941,4.429,8.838,4.205,7.188,6.7,7.061,14.957,14,7,14.3,4.793,6.333,14.111,6.829,3.379,4.526,9.652,13.038,7.6,8.543,10.454,6.784,14.143,8.707,7.5,11.376,4.701,7.166,5.1,10.896,13.201,4.553,8.4,8.1,6.651,6.61,2.728,6.941,4.928,5.288,6.015,7.696,10.1,8.325,9.201,10.2,5.71,5.475,1.378,12.4,13,7.062,3.242,8.359,7.628,4.6,5.853,17.204,6.531,12.261,11.791,7.273,9.6,9.4,9.4,14.285,3.896,14.295,10.652,7.733,6.57,7.767,5.721,6.037,9.631,6.3,5.702,8.523,9.245,14.6,9.346,8.2,4.8,7.206,5.294,8,5.711,4.752,5.407,7.224,13.025,10.155,8.983
